PLAYER,event_player_1_name,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,CAP HIT,SALARY
262. Nick Bonino,Nick.Bonino,31,C,Left,67,18,17,35,0.52,17,104,0.17,16:31,4100000,"$4,100,000 "
263. Olli Määttä,Olli.Määttä,24,LD,Left,65,4,13,17,0.26,0,80,0.05,18:25,4083333,"$4,083,300 "
264. Jake Gardiner,Jake.Gardiner,28,LD,Left,68,4,20,24,0.35,-24,87,0.05,16:39,4050000,"$3,650,000 "
265. Brett Pesce,Brett.Pesce,24,RD,Right,61,4,14,18,0.3,7,104,0.04,21:52,4025000,"$4,025,000 "
266. Mikkel Boedker,Mikkel.Boedker,29,"LW, RW",Left,20,2,2,4,0.2,-1,29,0.07,9:42,4000000,"$3,000,000 "
267. Evgeni Dadonov,Evgeni.Dadonov,30,"RW, LW",Left,69,25,22,47,0.68,-7,167,0.15,17:06,4000000,"$3,600,000 "
268. Jake Muzzin,Jake.Muzzin,30,LD,Left,53,6,17,23,0.43,12,99,0.06,21:35,4000000,"$4,450,000 "
270. Roman Josi,Roman.Josi,29,LD,Left,69,16,49,65,0.94,22,260,0.06,25:46:00,4000000,"$4,000,000 "
271. Marco Scandella,Marco.Scandella,29,LD,Left,62,4,9,13,0.21,14,77,0.05,17:34,4000000,"$4,750,000 "
272. Vladislav Namestnikov,Vladislav.Namestnikov,26,"RW, LW, C",Left,65,17,14,31,0.48,-5,98,0.17,15:03,4000000,"$4,000,000 "
273. David Perron,David.Perron,31,"RW, LW",Right,71,25,35,60,0.85,2,166,0.15,18:19,4000000,"$4,750,000 "
274. Kris Russell,Kris.Russell,32,LD/RD,Left,55,0,9,9,0.16,0,45,0,16:46,4000000,"$4,000,000 "
275. Victor Rask,Victor.Rask,26,C,Left,43,5,8,13,0.3,7,38,0.13,10:28,4000000,"$4,000,000 "
276. Erik Gudbranson,Erik.Gudbranson,27,RD,Right,51,4,5,9,0.18,0,78,0.05,19:22,4000000,"$4,500,000 "
277. Alec Martinez,Alec.Martinez,31,LD,Left,51,3,13,16,0.31,-4,75,0.04,21:30,4000000,"$4,150,000 "
278. Johan Franzen,Johan.Franzen,39,"RW, LW",Left,0,0,0,0,0,0,0,0,,3954545,"$1,000,000 "
279. Andrew Shaw,Andrew.Shaw,27,"C, RW",Right,26,3,7,10,0.38,-4,46,0.07,14:27,3900000,"$3,250,000 "
280. Joonas Donskoi,Joonas.Donskoi,27,RW,Right,65,16,17,33,0.51,2,111,0.14,16:15,3900000,"$4,900,000 "
281. Colin Miller,Colin.Miller,26,RD,Right,51,1,10,11,0.22,-9,79,0.01,17:08,3875000,"$3,875,000 "
282. Travis Hamonic,Travis.Hamonic,28,RD,Right,50,3,9,12,0.24,-3,83,0.04,21:11,3857143,"$4,875,000 "
283. Darren Helm,Darren.Helm,32,"C, LW, RW",Left,68,9,7,16,0.24,-6,102,0.09,13:44,3850000,"$3,000,000 "
284. Cody Eakin,Cody.Eakin,28,C,Left,49,5,10,15,0.31,-3,61,0.08,14:34,3850000,"$3,850,000 "
285. Connor Murphy,Connor.Murphy,26,RD,Right,58,5,14,19,0.33,2,117,0.04,21:15,3850000,"$4,400,000 "
286. Justin Braun,Justin.Braun,32,RD,Right,62,3,16,19,0.31,-2,70,0.04,17:16,3800000,"$3,800,000 "
287. Matt Beleskey,Matt.Beleskey,31,LW,Left,0,0,0,0,0,0,0,0,,3800000,"$3,000,000 "
