PLAYER,event_player_1_name,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,CAP HIT,SALARY
849. Maxime Comtois,Maxime.Comtois,20,LW,Left,29,5,6,11,0.38,-4,32,0.16,13:58,820000,"$792,500 "
850. Nolan Vesey,Nolan.Vesey,24,LW,Left,0,0,0,0,0,0,0,0,,817500,"$842,500 "
851. Egor Afanasyev,Egor.Afanasyev,18,C,Left,0,0,0,0,0,0,0,0,,817500,$0 
853. Jan Jeník,Jan.Jeník,18,C,Left,0,0,0,0,0,0,0,0,,817500,$0 
854. Kevin Bahl,Kevin.Bahl,19,LD,Left,0,0,0,0,0,0,0,0,,817500,$0 
856. Luke Philp,Luke.Philp,23,C,Right,0,0,0,0,0,0,0,0,,817500,"$792,500 "
857. Rodrigo Abols,Rodrigo.Abols,23,C,Left,0,0,0,0,0,0,0,0,,817500,"$792,500 "
858. David Gustafsson,David.Gustafsson,19,C,Left,22,1,0,1,0.05,-2,4,0.25,6:08,817500,"$792,500 "
860. Jonathan Gruden,Jonathan.Gruden,19,LW,Left,0,0,0,0,0,0,0,0,,815833,$0 
861. Riley Damiani,Riley.Damiani,19,C,Right,0,0,0,0,0,0,0,0,,813333,$0 
862. Casey Nelson,Casey.Nelson,26,RD,Right,0,0,0,0,0,0,0,0,,812500,"$825,000 "
863. Roope Hintz,Roope.Hintz,22,"C, LW",Left,60,19,14,33,0.55,3,120,0.16,14:44,811667,"$925,000 "
865. Mackenzie Entwistle,Mackenzie.Entwistle,19,"RW, C",Right,0,0,0,0,0,0,0,0,,811667,"$792,500 "
866. Janne Kuokkanen,Janne.Kuokkanen,21,"LW, C",Left,1,0,0,0,0,0,0,0,12:04,811666,"$842,500 "
867. Patrick Bajkov,Patrick.Bajkov,21,"RW, LW",Right,0,0,0,0,0,0,0,0,,809167,"$817,500 "
868. Dillon Hamaliuk,Dillon.Hamaliuk,18,LW,Left,0,0,0,0,0,0,0,0,,809167,$0 
869. Nathan Légaré,Nathan.Légaré,18,RW,Right,0,0,0,0,0,0,0,0,,809167,$0 
870. Akil Thomas,Akil.Thomas,19,C,Right,0,0,0,0,0,0,0,0,,809167,$0 
871. Tarmo Reunanen,Tarmo.Reunanen,21,LD,Left,0,0,0,0,0,0,0,0,,809167,"$792,500 "
872. Calen Addison,Calen.Addison,19,RD,Right,0,0,0,0,0,0,0,0,,809167,$0 
873. Vladislav Kolyachonok,Vladislav.Kolyachonok,18,LD/RD,Left,0,0,0,0,0,0,0,0,,809167,$0 
874. Fabian Zetterlund,Fabian.Zetterlund,19,"C, RW",Right,0,0,0,0,0,0,0,0,,809167,"$792,500 "
875. Oskar Steen,Oskar.Steen,21,"C, RW",Right,0,0,0,0,0,0,0,0,,809167,"$792,500 "
876. Artemi Kniazev,Artemi.Kniazev,18,LD,Left,0,0,0,0,0,0,0,0,,809167,$0 
877. Eetu Tuulola,Eetu.Tuulola,21,RW,Right,0,0,0,0,0,0,0,0,,809167,"$792,500 "
878. Kaedan Korczak,Kaedan.Korczak,18,RD,Right,0,0,0,0,0,0,0,0,,809167,$0 
880. Samuel Fagemo,Samuel.Fagemo,19,"LW, RW",Right,0,0,0,0,0,0,0,0,,809167,$0 
881. Nikita Okhotyuk,Nikita.Okhotyuk,18,LD,Left,0,0,0,0,0,0,0,0,,809167,$0 
883. Pavel Shen,Pavel.Shen,19,C,Left,0,0,0,0,0,0,0,0,,809167,"$792,500 "
884. Mikhail Maltsev,Mikhail.Maltsev,21,LW,Left,0,0,0,0,0,0,0,0,,809167,"$792,500 "
886. Niclas Almari,Niclas.Almari,21,LD,Left,0,0,0,0,0,0,0,0,,809167,"$792,500 "
887. Trey Fix-Wolansky,Trey.Wolansky,20,RW,Right,0,0,0,0,0,0,0,0,,809166,"$792,500 "
888. Jimmy Huntington,Jimmy.Huntington,20,C,Left,0,0,0,0,0,0,0,0,,809166,"$792,500 "
889. Sean Durzi,Sean.Durzi,20,RD,Right,0,0,0,0,0,0,0,0,,809166,"$792,500 "
890. Joey Keane,Joey.Keane,19,RD,Right,0,0,0,0,0,0,0,0,,809166,"$792,500 "
891. Simon Benoit,Simon.Benoit,20,LD,Left,0,0,0,0,0,0,0,0,,809166,"$792,500 "
892. Jan Drozg,Jan.Drozg,20,"LW, RW",Right,0,0,0,0,0,0,0,0,,809166,"$792,500 "
893. Stelio Mattheos,Stelio.Mattheos,20,C,Right,0,0,0,0,0,0,0,0,,809166,"$792,500 "
894. Jacob Elmer,Jacob.Elmer,20,RW,Right,0,0,0,0,0,0,0,0,,809166,"$792,500 "
895. Justin Almeida,Justin.Almeida,20,"C, LW",Left,0,0,0,0,0,0,0,0,,809166,"$792,500 "
896. Tyler Benson,Tyler.Benson,21,"LW, RW",Left,7,0,1,1,0.14,-1,5,0,10:22,808333,"$800,000 "
897. Jonas Røndbjerg,Jonas.Røndbjerg,20,RW,Left,0,0,0,0,0,0,0,0,,806667,"$790,000 "
898. Gabriel Fortier,Gabriel.Fortier,19,LW,Left,0,0,0,0,0,0,0,0,,805833,$0 
899. Martin Fehérváry,Martin.Fehérváry,19,LD,Left,6,0,1,1,0.17,-2,7,0,15:58,805833,$0 
901. Will Bitten,Will.Bitten,20,"RW, C",Right,0,0,0,0,0,0,0,0,,805000,"$792,500 "
903. Jesper Sellgren,Jesper.Sellgren,21,LD,Left,0,0,0,0,0,0,0,0,,803333,"$775,000 "
904. Ryan Gropp,Ryan.Gropp,22,LW,Left,0,0,0,0,0,0,0,0,,802500,"$832,500 "
905. Adam Ruzicka,Adam.Ruzicka,20,"C, RW",Left,0,0,0,0,0,0,0,0,,801666,"$785,000 "
906. Dalton Prout,Dalton.Prout,29,RD,Right,2,0,0,0,0,0,2,0,12:48,800000,"$800,000 "
908. Steven Kampfer,Steven.Kampfer,30,RD,Right,10,0,2,2,0.2,2,13,0,13:38,800000,"$800,000 "
909. Charles Hudon,Charles.Hudon,25,"LW, RW",Left,15,1,1,2,0.13,-9,22,0.05,11:32,800000,"$800,000 "
910. Jordan Szwarz,Jordan.Szwarz,28,RW,Right,3,0,0,0,0,0,2,0,4:55,800000,"$800,000 "
911. Christian Folin,Christian.Folin,28,RD,Right,16,1,1,2,0.13,-1,13,0.08,14:26,800000,"$800,000 "
912. Tyler Ennis,Tyler.Ennis,29,"LW, RW",Left,70,16,21,37,0.53,-6,159,0.1,14:42,800000,"$800,000 "
913. Joseph Duszak,Joseph.Duszak,21,RD,Right,0,0,0,0,0,0,0,0,,800000,"$800,000 "
914. Travis Boyd,Travis.Boyd,25,"C, RW",Right,24,3,7,10,0.42,9,26,0.12,11:45,800000,"$800,000 "
916. Cody Goloubef,Cody.Goloubef,29,RD,Right,26,1,1,2,0.08,-3,18,0.06,15:11,800000,"$800,000 "
917. Marko Dano,Marko.Dano,24,"C, LW, RW",Left,3,0,0,0,0,-1,2,0,7:10,800000,"$800,000 "
918. Mac Hollowell,Mac.Hollowell,20,RD,Right,0,0,0,0,0,0,0,0,,799766,"$783,000 "
919. Nicholas Henry,Nicholas.Henry,19,RW,Right,0,0,0,0,0,0,0,0,,798333,"$785,000 "
920. Markus Phillips,Markus.Phillips,20,LD,Left,0,0,0,0,0,0,0,0,,796667,"$777,500 "
922. Nikolai Knyzhov,Nikolai.Knyzhov,21,LD/RD,Left,3,0,0,0,0,-1,0,0,10:49,796667,"$780,000 "
923. Aidan Dudas,Aidan.Dudas,19,LW,Right,0,0,0,0,0,0,0,0,,796667,$0 
924. Leon Gawanke,Leon.Gawanke,20,LD/RD,Right,0,0,0,0,0,0,0,0,,796667,"$780,000 "
925. Mathias Laferrière,Mathias.Laferrière,19,C,Right,0,0,0,0,0,0,0,0,,796667,$0 
926. Martin Pospisil,Martin.Pospisil,19,RW,Left,0,0,0,0,0,0,0,0,,796667,"$780,000 "
927. Marcus Kallionkieli,Marcus.Kallionkieli,18,C,Left,0,0,0,0,0,0,0,0,,795833,$0 
928. Axel Andersson,Axel.Andersson,19,RD,Right,0,0,0,0,0,0,0,0,,795000,$0 
929. Jason Robertson,Jason.Robertson,19,"LW, RW",Left,3,0,1,1,0.33,0,4,0,12:19,795000,"$792,500 "
930. Josh Brook,Josh.Brook,20,RD,Right,0,0,0,0,0,0,0,0,,795000,"$792,500 "
931. Mason Shaw,Mason.Shaw,20,C,Left,0,0,0,0,0,0,0,0,,792500,"$792,500 "
932. Kasper Björkqvist,Kasper.Björkqvist,21,LW,Left,0,0,0,0,0,0,0,0,,792500,"$792,500 "
934. Oula Palve,Oula.Palve,27,C,Left,0,0,0,0,0,0,0,0,,792500,"$792,500 "
935. Lukas Vejdemo,Lukas.Vejdemo,23,"C, LW, RW",Left,7,1,0,1,0.14,0,7,0.14,8:01,792500,"$842,500 "
936. Mason Jobst,Mason.Jobst,25,C,Left,0,0,0,0,0,0,0,0,,792500,"$792,500 "
937. Andrei Chibisov,Andrei.Chibisov,26,"RW, LW",Left,2,0,0,0,0,0,1,0,7:27,792500,"$792,500 "
938. Bobo Carpenter,Bobo.Carpenter,22,"LW, C",Right,0,0,0,0,0,0,0,0,,792500,"$792,500 "
939. Jacob Lucchini,Jacob.Lucchini,24,"C, LW",Left,0,0,0,0,0,0,0,0,,792500,"$792,500 "
940. Johnathan Kovacevic,Johnathan.Kovacevic,21,LD/RD,Right,0,0,0,0,0,0,0,0,,792500,"$792,500 "
942. Teemu Kivihalme,Teemu.Kivihalme,24,LD,Left,0,0,0,0,0,0,0,0,,792500,"$792,500 "
943. Patrick Newell,Patrick.Newell,23,"C, LW",Left,0,0,0,0,0,0,0,0,,792500,"$792,500 "
944. Kris Bindulis,Kris.Bindulis,23,D,Left,0,0,0,0,0,0,0,0,,792500,"$842,500 "
945. Cameron Hughes,Cameron.Hughes,22,"C, LW",Left,1,0,0,0,0,-1,0,0,9:53,792500,"$792,500 "
946. Lucas Carlsson,Lucas.Carlsson,21,LD,Left,6,0,1,1,0.17,3,3,0,14:08,792500,"$792,500 "
948. Ryan Lohin,Ryan.Lohin,23,"C, LW, RW",Left,0,0,0,0,0,0,0,0,,792500,"$792,500 "
949. Dakota Joshua,Dakota.Joshua,23,C,Left,0,0,0,0,0,0,0,0,,792500,"$792,500 "
950. Fedor Gordeev,Fedor.Gordeev,20,LD,Left,0,0,0,0,0,0,0,0,,791667,"$775,000 "
951. Dawson Barteaux,Dawson.Barteaux,19,RD,Right,0,0,0,0,0,0,0,0,,791667,$0 
952. Johan Södergran,Johan.Södergran,19,C,Left,0,0,0,0,0,0,0,0,,791667,"$770,000 "
953. Nicolas Hague,Nicolas.Hague,20,LD,Left,38,1,10,11,0.29,0,54,0.02,16:05,791667,"$792,500 "
954. Zachary Gallant,Zachary.Gallant,20,C,Left,0,0,0,0,0,0,0,0,,786667,"$770,000 "
955. Riley Sutter,Riley.Sutter,19,RW,Right,0,0,0,0,0,0,0,0,,786667,$0 
956. Nathan Schnarr,Nathan.Schnarr,20,C,Right,0,0,0,0,0,0,0,0,,786667,"$792,500 "
957. Jakub Lauko,Jakub.Lauko,19,"C, LW",Left,0,0,0,0,0,0,0,0,,786667,$0 
958. Dmitri Zavgorodny,Dmitri.Zavgorodny,18,C,Right,0,0,0,0,0,0,0,0,,786667,$0 
959. Otto Koivula,Otto.Koivula,20,"LW, RW, C",Left,12,0,0,0,0,0,4,0,7:54,786666,"$792,500 "
961. Mikhail Vorobyov,Mikhail.Vorobyov,22,C,Left,20,1,2,3,0.15,-5,15,0.07,10:25,784167,"$817,500 "
963. Jonah Gadjovich,Jonah.Gadjovich,20,"LW, RW",Left,0,0,0,0,0,0,0,0,,783333,"$792,500 "
964. Semyon Der-Arguchintsev,Semyon.Arguchintsev,18,C,Right,0,0,0,0,0,0,0,0,,783333,$0 
965. Pascal Laberge,Pascal.Laberge,21,C,Right,0,0,0,0,0,0,0,0,,780833,"$750,000 "
966. Isaac Ratcliffe,Isaac.Ratcliffe,20,LW,Left,0,0,0,0,0,0,0,0,,780833,"$817,500 "
967. Jeffrey Viel,Jeffrey.Viel,22,LW,Left,0,0,0,0,0,0,0,0,,780000,"$780,000 "
968. Filip Hållander,Filip.Hållander,19,C,Left,0,0,0,0,0,0,0,0,,778333,$0 
969. Dillon Dubé,Dillon.Dubé,20,"LW, RW",Left,45,6,10,16,0.36,0,60,0.1,12:40,778333,"$792,500 "
971. Alex DeBrincat,Alex.DeBrincat,21,"LW, RW",Right,70,18,27,45,0.64,-10,207,0.09,17:29,778333,"$800,000 "
972. Antoine Morand,Antoine.Morand,20,C,Left,0,0,0,0,0,0,0,0,,778333,"$792,500 "
975. Matej Pekar,Matej.Pekar,19,"C, RW",Left,0,0,0,0,0,0,0,0,,778333,$0 
976. Jake Leschyshyn,Jake.Leschyshyn,20,C,Left,0,0,0,0,0,0,0,0,,778333,"$792,500 "
977. Alexander Chmelevski,Alexander.Chmelevski,20,C,Right,0,0,0,0,0,0,0,0,,778333,"$792,500 "
978. Bode Wilde,Bode.Wilde,19,RD,Right,0,0,0,0,0,0,0,0,,778333,$0 
979. Jared McIsaac,Jared.McIsaac,19,LD,Left,0,0,0,0,0,0,0,0,,778333,$0 
980. Lucas Elvenes,Lucas.Elvenes,19,RW,Left,0,0,0,0,0,0,0,0,,776667,"$790,000 "
981. Ivan Chekhovich,Ivan.Chekhovich,20,"C, LW",Left,0,0,0,0,0,0,0,0,,776667,"$790,000 "
982. Matthew Highmore,Matthew.Highmore,23,"LW, RW",Left,36,2,4,6,0.17,-1,35,0.06,9:48,775833,"$817,500 "
983. Gustav Lindström,Gustav.Lindström,20,RD,Right,16,0,1,1,0.06,-6,9,0,16:32,775833,"$792,500 "
984. Marian Studenic,Marian.Studenic,20,"LW, RW",Left,0,0,0,0,0,0,0,0,,775833,"$792,500 "
985. Igor Shvyryov,Igor.Shvyryov,20,C,Left,0,0,0,0,0,0,0,0,,775833,"$792,500 "
986. Nathan Noel,Nathan.Noel,22,C,Right,0,0,0,0,0,0,0,0,,775833,"$817,500 "
987. Carsen Twarynski,Carsen.Twarynski,21,LW,Left,15,1,0,1,0.07,-2,14,0.07,10:40,775833,"$792,500 "
988. David Quenneville,David.Quenneville,21,RD,Right,0,0,0,0,0,0,0,0,,775833,"$792,500 "
989. Jesper Lindgren,Jesper.Lindgren,22,RD,Right,0,0,0,0,0,0,0,0,,775833,"$792,500 "
990. Linus Ölund,Linus.Ölund,22,C,Left,0,0,0,0,0,0,0,0,,775833,"$792,500 "
991. Yegor Sharangovich,Yegor.Sharangovich,21,"LW, C",Left,0,0,0,0,0,0,0,0,,775833,"$792,500 "
992. Glenn Gawdin,Glenn.Gawdin,22,"C, RW",Right,0,0,0,0,0,0,0,0,,775833,"$842,500 "
993. Matthew Strome,Matthew.Strome,20,LW,Left,0,0,0,0,0,0,0,0,,775000,"$787,500 "
994. Sami Niku,Sami.Niku,22,LD/RD,Left,17,0,5,5,0.29,-2,27,0,16:09,775000,"$840,000 "
995. Alexei Toropchenko,Alexei.Toropchenko,20,"C, RW",Left,0,0,0,0,0,0,0,0,,775000,"$787,500 "
996. Brandon Pirri,Brandon.Pirri,28,"RW, LW",Left,16,0,2,2,0.13,-4,24,0,12:33,775000,"$775,000 "
997. Dominic Toninato,Dominic.Toninato,25,"C, LW",Left,46,4,7,11,0.24,4,38,0.11,11:08,775000,"$775,000 "
998. Maksim Sushko,Maksim.Sushko,20,RW,Left,0,0,0,0,0,0,0,0,,775000,"$787,500 "
999. Nicolas Petan,Nicolas.Petan,24,"C, LW, RW",Left,16,0,3,3,0.19,-4,19,0,11:07,775000,"$750,000 "
1001. Adam Mascherin,Adam.Mascherin,21,"C, LW",Left,0,0,0,0,0,0,0,0,,775000,"$792,500 "
1002. Kirill Maksimov,Kirill.Maksimov,20,RW,Right,0,0,0,0,0,0,0,0,,775000,"$787,500 "
1003. Conor Garland,Conor.Garland,23,"RW, LW",Right,68,22,17,39,0.57,1,158,0.14,14:09,775000,"$750,000 "
1004. Tucker Poolman,Tucker.Poolman,26,RD,Right,57,4,12,16,0.28,-1,64,0.06,17:26,775000,"$825,000 "
1005. Ostap Safin,Ostap.Safin,20,"RW, LW",Left,0,0,0,0,0,0,0,0,,775000,"$787,500 "
1006. Trevor Moore,Trevor.Moore,24,"RW, LW",Left,42,6,4,10,0.24,-4,60,0.1,12:54,775000,"$750,000 "
1007. Tobias Geisser,Tobias.Geisser,20,LD,Left,0,0,0,0,0,0,0,0,,774444,"$785,000 "
1009. Jacob McGrew,Jacob.McGrew,20,C,Right,0,0,0,0,0,0,0,0,,773333,"$785,000 "
1010. Riley Stillman,Riley.Stillman,21,LD,Left,34,0,5,5,0.15,-3,39,0,19:07,773333,"$792,500 "
1011. Cale Fleury,Cale.Fleury,20,RD,Right,41,1,0,1,0.02,-4,45,0.02,14:21,771666,"$792,500 "
1012. Tyler Steenbergen,Tyler.Steenbergen,21,C,Left,0,0,0,0,0,0,0,0,,770833,"$787,500 "
1013. Sebastian Aho,Sebastian.Aho,23,LD,Left,0,0,0,0,0,0,0,0,,770000,"$825,000 "
1014. Jake Massie,Jake.Massie,22,LD,Left,0,0,0,0,0,0,0,0,,770000,"$770,000 "
1015. Brandon Crawley,Brandon.Crawley,22,LD,Left,0,0,0,0,0,0,0,0,,770000,"$810,000 "
1016. Vladislav Kotkov,Vladislav.Kotkov,19,LW,Right,0,0,0,0,0,0,0,0,,770000,$0 
1018. Reid Duke,Reid.Duke,23,"C, RW",Right,0,0,0,0,0,0,0,0,,770000,"$825,000 "
1019. Paul Cotter,Paul.Cotter,19,C,Left,0,0,0,0,0,0,0,0,,770000,$0 
1020. Jack Studnicka,Jack.Studnicka,20,"RW, C",Right,2,0,1,1,0.5,2,3,0,12:07,769167,"$807,500 "
1021. Noah Gregor,Noah.Gregor,20,"LW, RW",Left,28,3,2,5,0.18,-5,33,0.09,10:03,768333,"$785,000 "
1022. Jonathan Davidsson,Jonathan.Davidsson,22,RW,Right,6,0,1,1,0.17,0,3,0,5:31,768333,"$785,000 "
1023. David Kase,David.Kase,22,"RW, LW, C",Left,6,1,0,1,0.17,1,5,0.2,9:46,768333,"$785,000 "
1024. Mason Marchment,Mason.Marchment,24,"LW, RW",Left,4,0,1,1,0.25,0,3,0,8:05,767500,"$792,500 "
1026. Sam Lafferty,Sam.Lafferty,24,"C, LW",Right,50,6,7,13,0.26,5,56,0.11,9:36,767500,"$792,500 "
1027. Andrew Sturtz,Andrew.Sturtz,24,RW,Right,0,0,0,0,0,0,0,0,,767500,"$792,500 "
1028. Wiley Sherman,Wiley.Sherman,24,D,Left,0,0,0,0,0,0,0,0,,767500,"$792,500 "
1029. Jansen Harkins,Jansen.Harkins,22,"LW, C",Left,29,2,5,7,0.24,-2,29,0.07,10:37,767500,"$817,500 "
1030. Tony Calderone,Tony.Calderone,24,RW,Right,0,0,0,0,0,0,0,0,,767500,"$792,500 "
1031. Ross Colton,Ross.Colton,22,"LW, C",Left,0,0,0,0,0,0,0,0,,767500,"$792,500 "
1033. Victor Olofsson,Victor.Olofsson,23,"LW, RW",Left,54,20,22,42,0.78,-1,127,0.16,18:23,767500,"$792,500 "
1034. Joni Tuulola,Joni.Tuulola,23,LD,Left,0,0,0,0,0,0,0,0,,767500,"$792,500 "
1035. Dmitry Sokolov,Dmitry.Sokolov,21,C,Left,0,0,0,0,0,0,0,0,,765000,"$782,500 "
1036. J.C. Beaudin,Jeaudin.Beaudin,22,"C, RW",Right,22,0,1,1,0.05,-4,18,0,8:37,765000,"$782,500 "
1037. Jalen Chatfield,Jalen.Chatfield,23,RD,Right,0,0,0,0,0,0,0,0,,765000,"$820,000 "
1038. Josh Anderson,Josh.Anderson,20,LD,Left,0,0,0,0,0,0,0,0,,765000,"$780,000 "
1039. Brayden Pachal,Brayden.Pachal,19,RD,Right,0,0,0,0,0,0,0,0,,765000,"$745,000 "
1040. Morgan Geekie,Morgan.Geekie,20,"C, RW",Right,2,3,1,4,2,3,4,0.75,11:47,763333,"$780,000 "
1041. Joël Teasdale,Joël.Teasdale,20,"RW, LW",Left,0,0,0,0,0,0,0,0,,763333,"$770,000 "
1042. Otto Somppi,Otto.Somppi,21,C,Left,0,0,0,0,0,0,0,0,,763333,"$780,000 "
1043. Alex True,Alex.True,21,"C, RW",Left,12,0,4,4,0.33,1,12,0,10:00,763333,"$780,000 "
1044. Yegor Zamula,Yegor.Zamula,19,LD,Left,0,0,0,0,0,0,0,0,,763333,$0 
1045. Tanner Kero,Tanner.Kero,26,"C, LW",Left,0,0,0,0,0,0,0,0,,762500,"$750,000 "
1047. Kale Clague,Kale.Clague,21,LD/RD,Left,4,0,0,0,0,-3,2,0,14:33,761666,"$792,500 "
1049. Benjamin Gleason,Benjamin.Gleason,21,LD,Left,0,0,0,0,0,0,0,0,,761666,"$770,000 "
1050. Sean Day,Sean.Day,21,LD,Left,0,0,0,0,0,0,0,0,,761666,"$792,500 "
1051. Benjamin Jones,Benjamin.Jones,20,C,Left,0,0,0,0,0,0,0,0,,760000,"$765,000 "
1052. Alex Barré-Boulet,Alex.Boulet,22,"LW, RW",Left,0,0,0,0,0,0,0,0,,759258,"$777,777 "
1053. Aaron Luchuk,Aaron.Luchuk,22,C,Left,0,0,0,0,0,0,0,0,,759167,"$792,500 "
1054. Rūdolfs Balcers,Rūdolfs.Balcers,22,"LW, RW",Left,15,1,2,3,0.2,-2,23,0.04,12:08,759167,"$792,500 "
1055. Austin Wagner,Austin.Wagner,22,"RW, LW",Left,65,6,5,11,0.17,-5,124,0.05,11:44,759167,"$792,500 "
1056. Austin Strand,Austin.Strand,22,RD,Right,0,0,0,0,0,0,0,0,,759167,"$792,500 "
1057. Maxime Fortier,Maxime.Fortier,21,"RW, C",Right,0,0,0,0,0,0,0,0,,759167,"$792,500 "
1059. Jayden Halbgewachs,Jayden.Halbgewachs,22,"LW, C",Left,0,0,0,0,0,0,0,0,,759167,"$792,500 "
1060. Alex Dostie,Alex.Dostie,22,C,Left,0,0,0,0,0,0,0,0,,759167,"$792,500 "
1063. Christoffer Ehn,Christoffer.Ehn,23,"C, LW",Left,54,2,2,4,0.07,-21,36,0.06,10:24,759167,"$792,500 "
1064. Cameron Hebig,Cameron.Hebig,22,C,Right,0,0,0,0,0,0,0,0,,759167,"$792,500 "
1065. Adam Brooks,Adam.Brooks,23,C,Left,7,0,3,3,0.43,1,2,0,7:51,759167,"$792,500 "
1066. Jordan Kyrou,Jordan.Kyrou,21,RW,Right,28,4,5,9,0.32,1,39,0.1,10:53,758333,"$700,000 "
1068. Brett Seney,Brett.Seney,23,"C, LW",Left,2,0,0,0,0,-1,1,0,9:56,757500,"$782,500 "
1069. Arnaud Durandeau,Arnaud.Durandeau,20,LW,Left,0,0,0,0,0,0,0,0,,756667,"$740,000 "
1070. Rasmus Andersson,Rasmus.Andersson,22,RD,Right,70,5,17,22,0.31,-7,124,0.04,19:56,755833,"$775,000 "
1071. Christian Jaros,Christian.Jaros,23,RD,Right,13,0,3,3,0.23,-2,5,0,10:30,755000,"$805,000 "
1072. Dane Birks,Dane.Birks,23,D,Right,0,0,0,0,0,0,0,0,,755000,"$780,000 "
1073. Chris Stewart,Chris.Stewart,31,"RW, LW",Right,16,0,1,1,0.06,-7,5,0,7:46,753757,"$750,000 "
1074. Alexandre Alain,Alexandre.Alain,22,"RW, C",Right,0,0,0,0,0,0,0,0,,753333,"$770,000 "
1075. Hayden Verbeek,Hayden.Verbeek,21,C,Left,0,0,0,0,0,0,0,0,,753333,"$770,000 "
1076. Aleksi Saarela,Aleksi.Saarela,22,"C, LW",Left,9,2,2,4,0.44,2,15,0.13,12:14,753333,"$750,000 "
1077. Joona Koppanen,Joona.Koppanen,21,"LW, C",Left,0,0,0,0,0,0,0,0,,753333,"$792,500 "
1078. Zachary Magwood,Zachary.Magwood,21,C,Right,0,0,0,0,0,0,0,0,,753333,"$770,000 "
1079. Ty Ronning,Ty.Ronning,21,RW,Right,0,0,0,0,0,0,0,0,,750833,"$767,500 "
1080. Jacob MacDonald,Jacob.MacDonald,26,LD,Left,0,0,0,0,0,0,0,0,,750000,"$800,000 "
1081. Dominik Simon,Dominik.Simon,24,"RW, LW",Left,64,7,15,22,0.34,-9,102,0.07,14:24,750000,"$750,000 "
1082. Karson Kuhlman,Karson.Kuhlman,23,"RW, C",Right,25,1,5,6,0.24,3,45,0.02,12:31,750000,"$775,000 "
1083. Austin Poganski,Austin.Poganski,23,RW,Right,1,0,0,0,0,0,0,0,5:54,750000,"$775,000 "
1084. Denis Malgin,Denis.Malgin,22,"RW, C",Right,44,4,8,12,0.27,-9,50,0.08,11:59,750000,"$750,000 "
1085. Tomas Jurco,Tomas.Jurco,26,"RW, LW",Left,12,0,2,2,0.17,1,7,0,9:58,750000,"$750,000 "
1086. Greg McKegg,Greg.McKegg,27,"C, LW",Left,53,5,4,9,0.17,-2,40,0.13,9:33,750000,"$750,000 "
1088. Mitch Reinke,Mitch.Reinke,23,RD,Right,0,0,0,0,0,0,0,0,,750000,"$750,000 "
1089. Justin Dowling,Justin.Dowling,28,"C, LW",Left,29,3,3,6,0.21,-3,29,0.1,10:57,750000,"$750,000 "
1090. Andy Andreoff,Andy.Andreoff,28,"LW, C",Left,14,0,1,1,0.07,-3,14,0,8:32,750000,"$750,000 "
1091. Michael Spacek,Michael.Spacek,22,C,Right,0,0,0,0,0,0,0,0,,750000,"$780,000 "
1092. Luca Sbisa,Luca.Sbisa,29,LD,Left,44,2,8,10,0.23,1,49,0.04,17:56,750000,"$750,000 "
1093. Miikka Salomäki,Miikka.Salomäki,26,"LW, RW",Left,5,1,0,1,0.2,2,2,0.5,12:08,750000,"$750,000 "
1094. Troy Brouwer,Troy.Brouwer,33,"LW, RW",Right,13,1,0,1,0.08,1,12,0.08,9:28,750000,"$750,000 "
1095. Mackenzie MacEachern,Mackenzie.MacEachern,25,"LW, RW",Left,51,7,3,10,0.2,2,63,0.11,8:57,750000,"$750,000 "
1096. Carson Soucy,Carson.Soucy,24,LD/RD,Left,55,7,7,14,0.25,16,61,0.11,15:37,750000,"$750,000 "
1097. Nick Shore,Nick.Shore,26,C,Right,63,3,3,6,0.1,1,45,0.07,9:10,750000,"$750,000 "
1099. Vladislav Kamenev,Vladislav.Kamenev,22,C,Left,38,1,7,8,0.21,-2,32,0.03,8:58,750000,"$750,000 "
1100. Zac Dalpe,Zac.Dalpe,29,C,Right,0,0,0,0,0,0,0,0,,750000,"$750,000 "
1101. Luca Sbisa,Luca.Sbisa,29,LD,Left,44,2,8,10,0.23,1,49,0.04,17:56,750000,"$750,000 "
1102. John Quenneville,John.Quenneville,23,"LW, C",Left,9,0,0,0,0,-1,14,0,11:02,750000,"$700,000 "
1104. Vladislav Kamenev,Vladislav.Kamenev,22,C,Left,38,1,7,8,0.21,-2,32,0.03,8:58,750000,"$750,000 "
1105. Troy Brouwer,Troy.Brouwer,33,"LW, RW",Right,13,1,0,1,0.08,1,12,0.08,9:28,750000,"$750,000 "
1106. Chase De Leo,Chase.Leo,23,"C, LW, RW",Left,1,0,0,0,0,0,1,0,14:59,750000,"$750,000 "
1107. Nic Dowd,Nic.Dowd,29,C,Right,56,7,8,15,0.27,11,52,0.13,10:50,750000,"$700,000 "
1108. Miikka Salomäki,Miikka.Salomäki,26,"LW, RW",Left,5,1,0,1,0.2,2,2,0.5,12:08,750000,"$750,000 "
1110. Curtis McKenzie,Curtis.McKenzie,28,LW,Left,0,0,0,0,0,0,0,0,,750000,"$750,000 "
1112. Reid Boucher,Reid.Boucher,25,LW,Left,0,0,0,0,0,0,0,0,,750000,"$750,000 "
1113. Ben Street,Ben.Street,32,C,Left,3,0,1,1,0.33,1,4,0,8:07,750000,"$750,000 "
1114. Michael Del Zotto,Michael.Zotto,29,LD,Left,49,2,13,15,0.31,5,57,0.04,18:42,750000,"$750,000 "
